message,label
高雄真好 想買就買還不會被議員亂洨,8 
菸粉又變啞巴囉,8 
運氣好跟人民努力 塔綠班式的鈔錢不屬,8 
民主進步  公開透明,8 
爛透了爛透了爛透了,0 
抄錢部屬,8 
才128萬，然後沒有篩檢站沒有隔離所沒有通報機制沒有認證機制，真的是很屌呢,8 
還有人說台北市也這樣，是多智障才會講這種話？要不要放寬管制是CDC才能決定的。台北市是去年有要編預算，這才是真正的超前部署。但被藍綠議員刪除，要不要再去複習一下新聞？,0 
我們的政府最認真 不急不徐超前部署,8 
垃圾塔綠班 就知道貪污,4 
超前部署錯   鈔錢部署對,8 
某個最愛督民眾黨的熱心民眾又失蹤了,8 
放給爛，滾動式調整,8 
塔綠班又要圍毆柯屁了,8 
太粗暴了 會被蟑螂出征,8 
推高高,5 
超前部署的超前其實是你不懂的,8 
想查? 這些都會列入機密 嘻嘻,8 
總統公然說謊欸 三千四把五十萬吹成一億,8 
開放前功課都不做 開放後賴地方政府 厲害惹 塔綠班,8 
抄錢部署 民進黨真的有夠噁心,4 
畢竟沒出社會上下教賊的官員們過太爽被科技人電爛也是正常的啊,8 
蟑螂飼料錢被擋，氣噗噗,8 
垃圾政府,4 
什麼都先吹再說 反正沒被查到算賺到,8 
超前部署 呵呵,8 
還敢說超前部署啊，死忠的死光沒,8 
英粉不管啦 超前部署,8 
幹他媽的買那麼多？有夠智障,4 
所以 一億到底是在？總統吹大餅嗎？,8 
鈔錢佈署,8 
垃圾綠共,4 
"要放寬連快篩劑都擋,能力真的很爛",8 
民進黨的訂單存量是保障權貴階級夠用，韭菜們當然就放推，畢竟是死忠的,8 
抄錢部署啊,8 
政府防疫一直都是無計畫，全憑執政者跟陳時中心情決定,8 
防疫物資怪地方沒先買?塔綠斑是智障嗎?,4 
先放推再賣比較暢銷,8 
幹拎娘整天想選舉,0 
升官發財！！！！！,8 
結論 不是價差被賺走就是盤子,8 
怎不去質詢口罩?????,7 
看到說怕會放到過期的 真的很逗趣耶...,8 
超錢佈署,8 
放到過期？？自己縮短規定的隔離時間欸！都不用準備？,0 
不查一下錢進誰口袋哦 嘻嘻,8 
台灣價值~抄錢部屬~,8 
馬得爛黨笑死,8 
我們政府錢真的很多捏 隨便就能花百億還到不了貨 要是我家採購已經被開除了說台北市也是要不要臉啊 北市沒先買你政府哪來的徵用 四月就再買了,8 
徐市議員又閉嘴了,8 
抄錢部署 在那叫什麼,8 
吃錢部署,8 
拿百姓生命在賭  撈也要有點底線  盜亦有道,7 
可憐啊，完全沒部署。,8 
在那叫什麼,8 
少來 疫情沒爆發又買一堆的話 還不被說官,7 
商勾結,8 
民進黨就是一群無能垃圾政客,4 
難道你要投國民黨??,7 
倫敦政經,8 
難道你要投白藍四趴？？,7 
廢物塔綠班,4 
超前部署,8 
真他媽拿人民健康開玩笑 幹你娘民進黨,4 
繞過採購法 太強了,8 
事實擺在眼前，時間點很清楚，陳時中的指揮官該拔掉了吧，什麼爛咖，超前部署只是話術,0 
抄前部屬,8 
囤快篩跟不見得是好事,7 
我們政府很有錢啊,8 
現在快篩效期都兩三年 過期妳妹？,4 
廢物,4 
立法院早變行政院立法局了，上面決定錢的用途，還需要底下人置喙嗎,8 
快篩效期不長？死忠的帶點腦好嗎？,8 
詐騙集團,8 
高調,6 
垃圾症腐！詐騙集團！一億支快篩呢！,4 
訂太多有人會不開心呀,8 
還在嘴台北啊！看好了台灣，錢是這樣撒的，知道高雄怎麼在民進黨執政下負債3000億了吧！高雄經驗，塔綠班當然算中央啊！因為之前根本不准人家進口不是,0 
乾你媽陳時中不怕天譴報應嗎,0 
呵呵  某隻貓又躲起來了,8 
垃圾民進黨 畜生都不如,4 
從兩年前就是沒事的時候不多買啊，買夠了，超前部署,8 
去年40多家送還擋呢！這個月很神奇的就過了一家高端份子,8 
跟科一個樣笑死,8 
吃相難看,8 
屁精臭甲又要想辦法轉移焦點了,4 
台北五月買比較厲害？,7 
塔綠班可憐哪，綠油金真的賺到流湯,8 
高委員真不錯,6 
中央放爛，菸粉還有臉扯地方喔，可悲,8 
塔綠班只在乎選舉,8 
扯地方的要不要去看腦袋？防疫政策誰主管,0 
黨工加班啦,8 
納稅錢真好花,8 
要放寬還沒準備,8 
不意外，只是覺得被蒙在鼓裡的民眾很可憐，還一堆為虎作倀的側翼整天在靠背,6 
國民黨跟民眾黨一定要合作擋下這筆錢,5 
沒事啦，繼續嘴台北沒買，中央都沒問題,8 
為什麼照法律走，對現在的政府這麼困難啊,1 
這樣也能護航 厲害,8 
是在叫什麼,8 
什麼都是黨說了算,8 
在那叫什麼,8 
是蔡母豬腦跑的比病毒慢,4 
高登賺起來,8 
質疑這個政府有個卵用 都不用調查錢是不是落人口袋嗎？,8 
清零守不住滑坡成共存放寬...根本沒超前部署還騙,0 
水很深,8 
超前部署,8 
就愛看高虹安質詢，條理超清晰,6 
撈滿,8 
防疫失敗才喊共存 再不斷創一堆新名詞唬弄人讓人以為有做事 實際上就擺爛裝死敷衍了事,0 
哈哈哈哈哈哈哈哈！自己選的政府,8 
抄錢部署你敢嘴？,8 
高的質詢真得頗有水準,6 
東森新聞  素質低劣,8 
垃圾民進黨,4 
但這政府皮厚,8 
是不是還要透過小吃店買？,8 
訂了這麼多還是要叫人民自己買阿！,8 
花預算買進來再轉售給人民??,8 
等一隻肥貓滾過來說明,8 
沒錯啊 抄錢,8 
快推起來,6 
國外作業都給你抄了 還能抄錯 是低能還是白痴啊,4 
垃圾政府,4 
政府都不怕有報應,8 
請塔綠班支援出征,8 
好爛,8 
笑死  要是疫情沒爆 就換酸錢亂花,8 
都五毛在講,8 
好幾個月前開始轉風向都點過好多次了,8 
那民眾黨管的台北呢？還不是一個樣,7 
抄錢部署 民進黨真的有夠噁心,8 
現在買快篩到底有什麼用既然都要確診不是應該把錢花在醫療醫護篩你媽啦,0 
白賊黨,8 
超前部署準備的是選舉又不是防疫,8 
黨中央很有錢井,8 
我們政府很有錢的,8 
拉屎中,4 
民進黨 真的只適合在野 治國天下大亂,8 
猴子還想開車啊？！,8 
垃圾衛福部，連開會主題都搞不清楚，史上最廢的公部門,4 
鈔錢部屬，讚讚,8 
超淺部署，疫苗靠人捐，PCR還在缺,8 
推,6 
就跟之前3+11一樣，疫苗覆蓋沒幾趴就開了而且還是在米國阿爸警示提高台灣的時候然後還有一堆智障菸粉在那邊亂嗆抹黑，糙,0 
抄錢不數,8 
死忠仔超喜歡這種政府？,8 
災難財,8 
推高虹安,5 
還一副理直氣壯 我負責,8 
民進黨執政六年輕鬆搞爛台灣,8 
說過期的要不要看一下有效期多久？還想帶風向？,0 
垃圾民進黨,4 
鈔前不署，發財也要讓自己人發大財！,8 
鈔錢部署,8 
抄錢不署XD,8 
然後人民還要自己買快篩蠻詭異的,8 
炒房擋疫苗快篩綠蟑政客染疫死全家！,4 
你的阿伯不也是一樣,7 
說真的我賭爛的還不是這個 是這樣被嘴爆不為過吧 但是党說你再給我閉嘴 不然我要辦你 這就幹靈涼了,0 
貞昌務實 貞昌可愛,8 
自己選的政府 自己承擔,8 
推,6 
厲害了 廢物政府,4 
不然你要投國民黨,7 
貞昌棒棒時鐘讚讚護國有功,8 
黨真的很努力的在幫中共削減台灣人口,8 
這次不就是中央放寬邊境才爆炸 我還以為是台北放寬邊境造成的,8 
過年前黨還在嗆北市府結果過年後確診跟隔離的就往雙北丟,0 
燒你錢還要你命的偉大政府,8 
超前部署失敗才衍生更多大手筆的鈔錢部署,8 
現在才買。悲哀,8 
超前部署咧抄錢還差不多,8 
慢了就不要了,8 
鈔錢部署，底下人民苦哈哈，台上政客大撒幣,8 
四叉賤甲快出來洗地啊,4 
小粉紅迫不急待抹屎。,4 
又有股發大財的味道,8 
跟本沒準備好就急著共存 在急什麼？,0 
綠能，年底都是死忠的,8 
疫苗跟快篩不就一樣套路 把裝備先控制人民就只能跟黨買啊,8 
虹安加油,5 
不這樣搞哪來油水,8 
超慢部署,8 
謝謝韭菜人民貢獻納稅錢讓黨吃香喝辣財團企業廠商這幾年賺翻了,8 
支持高虹安,5 
賺爛了 賺爛了,8 
賺爛啦，有鍋就往雙北甩,8 
超前部署？大家拿出精神來！,8 
是抄錢，誰跟你超前？你各位資質多低？,8 
死忠的沒在管這些啦,8 
抄錢部署？,8 
死忠還在護航 看看現在的台灣 可憐,8 
沒辦法 台灣韭菜命值幾兩錢 哪比得上選舉和圈錢重要,8 
以後請改名 超後部署,8 
好爽，發大財,8 
幹，然後物價什麼都調漲來讓人民還債,0 
黃垃圾,4 
醫學奇蹟,8 
黃捷吧,8 
巨乳版黃捷,8 
臉沒變阿，當時還在發育,7 
黃捷吧,8 
真可怕,8 
版型沒變阿,7 
三階段進化,8 
進化神速,8 
難不成你要選黃羯?,8 
你不能接受有屁用 反正又幹不到,8 
人造人間,8 
誰？哪位？有巨乳嗎？,8 
寶可夢,8 
卡比獸 究極進化!,8 
騙人的吧......,1 
不用意外 猿隊就人造人間大本營 = =,8 
泥484沒看過 變身,8 
沒有醜女人 只有沒錢的女人,8 
還是叫瑞希時期,8 
我覺得 科技很棒啊 不好嗎,7 
可是一堆人喜歡啊 超好笑,8 
瑞希,8 
化妝前後阿,8 
整形比較實在不要去學一些有的沒的浪費錢,7 
整形醫生真是賺爛,8 
是啊， 現在全身都假的,8 
看縮圖還好 點進去…..台灣醫學奇蹟,8 
塑膠你不知道？,8 
這已經是進化過的了 現在是超進化,8 
那個鼻子 臉型 全都不一樣,8 
普,8 
真假 是她?,8 
奶鼻子都動過 老實說醫師技術滿好的,6 
人工美女,8 
這醫美診所應該會爆滿吧 整得挺成功,8 
那表示她整得超成功好嗎?  教科書等級,8 
有上進心給推,6 
醫學奇蹟  有上進心推,6 
沒有醜女人 只有窮女人,8 
本來看起來就好看 結果整壞又刺青 變8+9 毀了,8 
火,6 
黃捷？懶覺比雞腿吧,8 
嘔嘔嘔嘔嘔嘔嘔,8 
蠻漂亮的啦,5 
留言靠北,8 
這是黃捷吧，別以為我看不出,8 
還是很可愛,5 
還好吧 女大十八變 他的穿搭 也有素顏樣阿新台女本來就可以靠化妝 跟科技 還有外科改他的LOOK BOOK 也都脫到剩內衣內褲阿很少台女願意這樣給肥仔看ㄅ = =,7 
宅男的幻想破滅惹,8 
這就醫美臉啊沒辨識度啊～會忘記的,8 
變身前,8 
明日花也是整型臉,8 
林沙素顏 也有差好嗎= = 不過他年紀比較大ㄅ,8 
明明就沒有差很多，類型不同而已,7 
八卦肥仔最愛的 小馮 以前高中也土土ㄅ==,8 
套 晨晨說ㄉ 你底子不行 要有底子阿,8 
整到看不出來,8 
就算是整的 也整得超成功好嗎那個醫生根本神手來著,6 
整得挺好的,6 
神奇寶貝沒看過嗎,8 
其實以前的臉應該也會不少人喜歡,6 
以前比較好看 很有特色,8 
好好的整個雞兒  那個塑料味,8 
"這時把起來,跟買到25塊的台積電一樣神",8 
醫學奇蹟,8 
差真大 目瞪口呆 ,8 
現代醫學奇蹟啊,8 
以前比較沒塑味,8 
醫生超強,6 
還不錯啊,6 
原本也很可愛吧,6 
孫生真的爽,6 
我可以,6 
這時候的比較可愛,6 
醫生不愧是台灣升學制度的王者,6 
林襄一小步，醫美一大步,8 
辣個膝上襪可以,6 
真塑可怕,8 
其實也很可愛啦 但是似乎有調整,6 
救人造人是要講幾次。,8 
醫學奇蹟,8 
難怪現在跩成這樣 還有一窩蜂的變塑膠鼻,8 
整很大,8 
醫學奇蹟還愛捧才好笑,8 
醫學奇蹟,8 
動很大再抱怨太大,8 
整形醫師強啊,6 
他本來就很肥,8 
醫學奇蹟還有人不知道喔,8 
難怪說整形醫生是再生父母XDDDDD,8 
其實她整得不錯,6 
不是只有寶可夢跟數碼寶貝會進化,8 
還好ㄅ 八卦噁男怎麼那麼嚴格,7 
笑死 你們的最愛,8 
還好啊，長大之後有錢投資自己，然後賺更多的錢,6 
靠 差太多了吧,8 
弗利沙都有四種型態了,8 
樂天桃猿出品 待得越久長得越像,8 
怕,9 
817：政府已經幫忙多活兩年多了,8 
解脫了,6 
肥宅沒人查看 怕怕,9 
自己有病,8 
陳屍中政績,8 
歐米控還是很強啊,9 
焦糖哥哥表示,8 
怕爆,9 
長期臥床 解脫了啦,6 
唉 民進黨 禍國殃民 滿手血腥 台灣罪人,8 
怕了,9 
都說要自主應變了,8 
"幹你娘,缺快篩一堆人死完才確診",0 
自主投胎,8 
政黑：國外死更多人,8 
超難過 今年一月爺爺也糖尿病臥病走了看到這則新聞真的又回想起來了好難過,1 
蔡輕症無症狀不要去急診,8 
這一波會洗掉一大批體弱者、幼兒和老人,1 
要怪就怪病毒,8 
這種長期臥床的隨時掛掉都不奇怪吧,7 
這個也要怪陳...千錯萬錯民進黨嗎,7 
長期臥床糖尿病的健康人怎麼會...,8 
59歲就長期臥床 RIP,1 
時鐘：死了不早說！,8 
幹真的是政府殺人,0 
就是輕轉重來不及送醫巴 共存個屁,0 
糖尿病,8 
RIP,1 
蔡 已經走出疫情,8 
陳時中，你看到了嗎,8 
幹拎羊，政府殺人,0 
你各位獨居肥宅注意了,8 
陳時中背的人命加一,8 
鄉民不是很想要安樂死  這就安樂死啊現在又改口嘴政府殺人了  笑死,8 
民進黨  執政.................,8 
對女兒是解脫 謝謝omi,8 
59就長期臥床滿可怕的,9 
omicron感謝您,8 
這種都沒被送到醫院，什麼樣才能送醫院,0 
焦糖,8 
焦糖,8 
可憐唉,1 
害怕,9 
記得找民進黨算帳,8 
R.I.P.,1 
說個笑話 藍綠一樣爛,8 
積極染疫 重症清零 懂的人就懂,8 
投民進黨的更是滿手血,0 
何美鄉：染疫是祝福,8 
唉......,1 
祝福妳媽,8 
真難過,1 
開始都死在家裡了，有政府好安心～,8 
該怎麼說…可能可以感謝病毒吧…唉,1 
沒有長照負擔了  病毒的唯一貢獻,8 
女兒傳染給媽媽一定也很難過~,1 
"蔡母豬：忙著選舉加測試VR, 沒空勿擾",8 
塔綠班死全家,4 
天然安樂死,8 
不管如何 這個可憐家 女兒也算解脫,1 
哭,1 
感覺慢性病人應該很恐慌吧？,1 
長期臥床很痛苦,1 
黨說防疫成功 請勿增加黨的困擾,8 
貪污殺人 民進黨,8 
蔡英文政績,8 
這麼健康的人  這政府真是,1 
綠共存又害死健康的人了,0 
黑數到底有多少,1 
長期臥床還能說健康的人  某些人耍智障喔,4 
這次疫情真的讓人發現台灣很多年紀輕輕久病纏身的人,1 
恭喜老母早日超生,4 
謝謝小英,8 
唉,1 
下次生在沒有綠共的地方吧,1 
陳時中政績+1,8 
桃園：病人有病。台北：柯P下台,8 
